 Parking Lot,Lat,Long,Distance 
 p1,33.308732,-111.672509,53
 p2,33.308761,-111.672508,56
 p3,33.308786,-111.672509,59
 p4,33.308811,-111.672508,63
 p5,33.308835,-111.67251,63
 p6,33.308858,-111.672511,63
 p7,33.308883,-111.67251,63
 p8,33.308907,-111.672507,63
 p9,33.308933,-111.672507,63
 p10,33.308957,-111.672507,91
 p11,33.308736,-111.672577,39
 p12,33.308761,-111.672574,42
 p13,33.308787,-111.672577,45
 p14,33.308811,-111.672578,47
 p15,33.308837,-111.672572,57
 p16,33.30886,-111.672574,57
 p17,33.308885,-111.672577,55
 p18,33.308909,-111.672578,57
 p19,33.308933,-111.672574,61
 p20,33.30896,-111.672575,64
